sexual_orientation,location_type,income_bracket,education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,age,height_cm,weight_kg,zodiac_sign,body_type,relationship_intent,Género,Provincia
Gay,Remote Area,Upper-Middle,Diploma,"Art, Coding, Startups",107,High,0.88,Swipe Maniac,183,10,1,351,81,0.29,8,Late Night,Date Happened,25,151.0,61.3,Taurus,Muscular,Networking,Hombre,Ávila
Straight,Urban,High,MBA,"Art, Dancing, Hiking",170,Addicted,0.17,Choosy,197,4,5,134,20,0.12,23,Evening,Relationship Formed,58,195.0,89.7,Aquarius,Slim,Casual Dating,Mujer,Soria
Demisexual,Small Town,Very Low,High School,"Cooking, Motorcycling, Yoga",279,Extreme User,0.46,Optimistic,9,5,4,282,18,0.28,13,Morning,Mutual Match,44,193.0,103.2,Capricorn,Athletic,Hookups,Mujer,Cantabria
Asexual,Urban,Lower-Middle,Associate’s,"MMA, Fitness, K-pop",52,Moderate,0.5,Optimistic,90,24,4,452,52,0.36,19,After Midnight,Ghosted,31,183.0,92.1,Cancer,Plus Size,Exploring,Hombre,Sevilla
Lesbian,Suburban,Middle,No Formal Education,"Pets, Sneaker Culture, Astrology",210,Extreme User,0.78,Swipe Maniac,171,27,5,415,31,0.13,8,Morning,One-sided Like,25,148.0,44.7,Aquarius,Plus Size,Hookups,Hombre,Valladolid
Straight,Metro,Low,Associate’s,"Clubbing, Writing, Memes",116,High,0.52,Optimistic,57,0,5,98,51,0.16,10,Afternoon,One-sided Like,26,179.0,83.0,Sagittarius,Athletic,Networking,Mujer,Bizkaia
Asexual,Remote Area,Upper-Middle,MBA,"MMA, Painting, Astrology",14,Very Low,0.19,Choosy,29,28,2,91,74,0.23,8,Early Morning,One-sided Like,38,171.0,65.8,Virgo,Plus Size,Friends Only,Hombre,Valencia
Demisexual,Rural,High,Master’s,"Board Games, Startups, Investing",59,Moderate,0.32,Balanced,98,28,4,97,32,0.17,1,After Midnight,Chat Ignored,53,182.0,93.4,Scorpio,Slim,Serious Relationship,No binario,La Coruña
Bisexual,Rural,Middle,High School,"K-pop, Astrology, History",160,Addicted,0.66,Optimistic,169,27,0,368,38,0.06,16,Afternoon,Chat Ignored,53,167.0,73.3,Gemini,Average,Hookups,Hombre,Barcelona
Demisexual,Remote Area,Lower-Middle,Postdoc,"Traveling, Fashion, Poetry",194,Extreme User,1.0,Swipe Maniac,173,23,1,315,72,0.24,9,Evening,Relationship Formed,57,186.0,76.8,Scorpio,Average,Serious Relationship,Hombre,Las Palmas
Pansexual,Rural,Low,MBA,"Meditation, Startups, Social Activism",164,Addicted,0.6,Optimistic,119,14,3,345,27,0.25,16,Evening,Ghosted,30,169.0,67.4,Pisces,Curvy,Friends Only,Hombre,Córdoba
Gay,Rural,Upper-Middle,Master’s,"Reading, Crafting, Fitness",158,Addicted,0.74,Swipe Maniac,57,25,1,75,3,0.39,1,Morning,Date Happened,24,171.0,69.3,Virgo,Plus Size,Friends Only,Mujer,Cádiz
Gay,Metro,Middle,Associate’s,"Parenting, Motorcycling, DIY",253,Extreme User,0.87,Swipe Maniac,102,7,1,335,88,0.27,0,Early Morning,Chat Ignored,36,200.0,84.4,Pisces,Muscular,Friends Only,Hombre,Asturias
Lesbian,Remote Area,Upper-Middle,PhD,"Gaming, Languages, Fitness",62,High,0.31,Balanced,116,4,6,237,85,0.54,16,Late Night,Catfished,25,194.0,109.1,Taurus,Muscular,Casual Dating,Hombre,Cáceres
Queer,Small Town,Very High,Postdoc,"Board Games, Languages, Running",81,High,0.66,Optimistic,190,27,3,230,33,0.71,7,After Midnight,No Action,48,187.0,77.3,Cancer,Muscular,Hookups,Hombre,Guadalajara
Queer,Remote Area,Low,Bachelor’s,"Running, Cooking, Parenting",146,Addicted,0.35,Balanced,60,8,2,163,69,0.22,2,Morning,Ghosted,28,200.0,94.8,Sagittarius,Athletic,Friends Only,No binario,Girona
Demisexual,Remote Area,Low,Associate’s,"Cooking, Poetry, Astrology",277,Extreme User,0.5,Optimistic,119,13,0,105,53,0.66,12,Late Night,Mutual Match,32,156.0,63.0,Pisces,Curvy,Serious Relationship,Mujer,Álava
Demisexual,Metro,Very Low,Master’s,"Memes, Crafting, DIY",214,Extreme User,0.49,Optimistic,137,23,5,279,77,0.1,7,Evening,Blocked,58,179.0,85.5,Taurus,Curvy,Exploring,Mujer,Asturias
Demisexual,Metro,Very Low,MBA,"Astrology, K-pop, MMA",207,Extreme User,0.46,Optimistic,185,5,6,239,16,0.39,19,Late Night,Mutual Match,45,161.0,66.4,Aries,Slim,Hookups,Mujer,Almería
Straight,Urban,High,MBA,"Traveling, Clubbing, Pets",25,Low,0.65,Optimistic,66,12,2,108,58,0.27,10,Afternoon,Chat Ignored,36,199.0,74.4,Leo,Plus Size,Serious Relationship,No binario,Toledo
Demisexual,Rural,Very High,High School,"Skating, Music, Sneaker Culture",276,Extreme User,0.54,Optimistic,13,5,1,332,8,0.08,20,Early Morning,Mutual Match,56,180.0,65.4,Capricorn,Plus Size,Casual Dating,Hombre,Palencia
Bisexual,Urban,Upper-Middle,Diploma,"Fitness, Traveling, Skating",58,Moderate,0.85,Swipe Maniac,144,30,1,238,89,0.4,8,Afternoon,Ghosted,51,198.0,88.2,Pisces,Curvy,Friends Only,Mujer,Zaragoza
Gay,Suburban,Lower-Middle,High School,"Meditation, Music, Memes",294,Extreme User,0.72,Swipe Maniac,173,29,3,203,91,0.33,6,Early Morning,Catfished,53,199.0,72.5,Scorpio,Average,Friends Only,Hombre,Cáceres
Bisexual,Urban,High,Bachelor’s,"MMA, Startups, Photography",289,Extreme User,0.38,Balanced,200,1,2,272,54,0.11,21,Afternoon,One-sided Like,44,184.0,73.5,Virgo,Average,Casual Dating,Hombre,Soria
Asexual,Urban,Very High,MBA,"Gardening, Movies, Board Games",185,Extreme User,0.69,Optimistic,162,28,6,235,90,0.51,4,Evening,Ghosted,41,152.0,49.0,Sagittarius,Muscular,Serious Relationship,Hombre,Palencia
Pansexual,Small Town,Very High,Postdoc,"Skating, Clubbing, Board Games",137,Addicted,0.2,Balanced,82,27,1,425,11,0.19,8,Evening,Blocked,52,151.0,51.1,Cancer,Plus Size,Serious Relationship,Mujer,Murcia
Demisexual,Rural,Very Low,PhD,"Foodie, Pets, Gardening",108,High,0.64,Optimistic,90,25,2,174,35,0.1,19,After Midnight,No Action,27,160.0,72.2,Scorpio,Average,Networking,Hombre,Ourense
Straight,Small Town,Low,High School,"Fitness, Tattoos, Poetry",250,Extreme User,0.43,Optimistic,142,24,1,353,60,0.13,20,After Midnight,Date Happened,29,146.0,57.3,Taurus,Curvy,Exploring,Hombre,Murcia
Straight,Urban,Lower-Middle,Associate’s,"Binge-Watching, Motorcycling, Fitness",156,Addicted,0.51,Optimistic,169,18,2,242,70,0.1,16,Afternoon,Chat Ignored,37,194.0,111.8,Cancer,Plus Size,Networking,No binario,Bizkaia
Asexual,Rural,High,PhD,"Art, Memes, Spirituality",118,High,0.67,Optimistic,30,23,1,161,15,0.03,23,Late Night,Ghosted,42,186.0,65.0,Pisces,Slim,Friends Only,Mujer,Álava
Bisexual,Remote Area,Middle,Bachelor’s,"Tattoos, Meditation, Crafting",268,Extreme User,0.34,Balanced,152,9,0,426,24,0.32,9,Morning,Instant Match,45,194.0,91.5,Virgo,Plus Size,Casual Dating,Hombre,Pontevedra
Pansexual,Urban,High,Postdoc,"Traveling, Art, Dancing",27,Low,0.83,Swipe Maniac,141,9,5,483,16,0.25,20,Evening,One-sided Like,40,163.0,62.2,Cancer,Slim,Serious Relationship,Mujer,Illes Balears
Pansexual,Metro,Middle,PhD,"Astrology, Pets, Gaming",129,Addicted,0.25,Balanced,122,3,6,33,51,0.36,15,Early Morning,Catfished,48,190.0,107.6,Aries,Plus Size,Hookups,Hombre,Girona
Straight,Suburban,Low,Bachelor’s,"Reading, Fitness, Photography",285,Extreme User,0.83,Swipe Maniac,195,13,4,305,79,0.09,7,Late Night,Chat Ignored,32,174.0,61.2,Leo,Athletic,Exploring,No binario,Lleida
Queer,Rural,Very High,MBA,"Memes, Makeup, History",30,Moderate,0.59,Optimistic,156,30,5,50,97,0.38,6,After Midnight,Blocked,46,172.0,66.0,Cancer,Curvy,Friends Only,No binario,Madrid
Gay,Suburban,Low,Diploma,"Languages, Cooking, Anime",1,Barely,0.31,Balanced,104,14,5,304,60,0.36,9,Early Morning,Blocked,41,163.0,69.9,Sagittarius,Plus Size,Casual Dating,Hombre,Salamanca
Pansexual,Remote Area,Very High,PhD,"Cooking, MMA, Politics",135,Addicted,0.41,Optimistic,160,18,5,411,25,0.28,13,Early Morning,Relationship Formed,30,181.0,77.0,Leo,Plus Size,Hookups,Hombre,La Coruña
Lesbian,Rural,Very High,Diploma,"Cooking, Gaming, Anime",157,Addicted,0.97,Swipe Maniac,152,23,6,291,36,0.11,14,Early Morning,Date Happened,54,186.0,90.3,Aquarius,Athletic,Casual Dating,Hombre,Murcia
Pansexual,Remote Area,Middle,Bachelor’s,"Investing, Painting, Gardening",224,Extreme User,0.51,Optimistic,20,19,0,455,55,0.42,23,Afternoon,Catfished,52,200.0,85.2,Taurus,Curvy,Exploring,Hombre,Ávila
Straight,Urban,Low,No Formal Education,"Crafting, MMA, Art",295,Extreme User,0.76,Swipe Maniac,10,2,3,265,83,0.04,14,Afternoon,Ghosted,34,165.0,59.9,Cancer,Athletic,Hookups,Mujer,Castellón
Demisexual,Remote Area,Very High,PhD,"Reading, Skating, Writing",209,Extreme User,0.38,Balanced,85,10,5,53,20,0.45,10,Evening,Date Happened,25,171.0,86.0,Aquarius,Muscular,Networking,Hombre,Illes Balears
Demisexual,Small Town,Very Low,PhD,"Reading, Foodie, Spirituality",165,Addicted,0.38,Balanced,29,24,3,442,65,0.15,0,After Midnight,Relationship Formed,52,147.0,57.5,Leo,Plus Size,Friends Only,Hombre,Ciudad Real
Demisexual,Urban,Low,Postdoc,"Cars, History, Crafting",255,Extreme User,0.56,Optimistic,160,14,6,26,26,0.13,8,Late Night,Ghosted,29,163.0,65.9,Gemini,Curvy,Serious Relationship,Hombre,Zaragoza
Queer,Remote Area,Middle,High School,"Music, Podcasts, Startups",122,Addicted,0.14,Choosy,181,5,2,282,1,0.08,17,Evening,One-sided Like,54,172.0,76.6,Virgo,Slim,Networking,Hombre,Castellón
Gay,Metro,Very Low,Diploma,"Gardening, Parenting, Coding",260,Extreme User,0.46,Optimistic,180,8,3,427,61,0.55,15,Morning,Date Happened,38,181.0,88.1,Sagittarius,Athletic,Friends Only,Hombre,Tarragona
Lesbian,Metro,Low,Postdoc,"Sneaker Culture, Traveling, Cooking",141,Addicted,0.5,Optimistic,197,25,6,212,43,0.34,16,Afternoon,Mutual Match,59,177.0,87.1,Scorpio,Plus Size,Networking,Hombre,Lleida
Pansexual,Small Town,Upper-Middle,PhD,"Yoga, Running, Painting",247,Extreme User,0.44,Optimistic,88,10,4,390,69,0.28,12,Evening,Instant Match,33,149.0,59.7,Capricorn,Athletic,Friends Only,No binario,Badajoz
Bisexual,Small Town,Middle,Associate’s,"Poetry, Dancing, Foodie",242,Extreme User,0.88,Swipe Maniac,180,29,6,195,49,0.55,21,After Midnight,Ghosted,40,185.0,80.4,Gemini,Average,Serious Relationship,Hombre,Teruel
Straight,Suburban,Upper-Middle,Master’s,"Movies, Running, Stand-up Comedy",233,Extreme User,0.26,Balanced,3,1,3,445,83,0.31,4,Early Morning,Date Happened,44,167.0,77.3,Pisces,Athletic,Hookups,Hombre,Teruel
Asexual,Small Town,High,MBA,"Social Activism, Reading, Astrology",273,Extreme User,0.36,Balanced,97,30,2,320,91,0.19,15,Late Night,Mutual Match,46,170.0,60.4,Pisces,Curvy,Casual Dating,Mujer,Ciudad Real
Gay,Suburban,High,Bachelor’s,"Politics, Sneaker Culture, Reading",222,Extreme User,0.47,Optimistic,25,24,5,360,12,0.24,14,Morning,No Action,23,171.0,71.3,Pisces,Muscular,Casual Dating,Hombre,Málaga
Straight,Rural,Very High,No Formal Education,"Coding, Writing, Cars",220,Extreme User,0.41,Optimistic,37,7,4,210,72,0.34,21,Morning,Ghosted,33,173.0,80.5,Libra,Athletic,Exploring,Hombre,Álava
Gay,Small Town,Very High,MBA,"History, MMA, Fitness",254,Extreme User,0.55,Optimistic,149,4,1,236,81,0.5,8,Evening,No Action,23,178.0,66.2,Leo,Curvy,Hookups,Hombre,Cáceres
Straight,Metro,Lower-Middle,Postdoc,"Anime, Cooking, Running",176,Addicted,0.37,Balanced,150,9,5,492,54,0.43,22,Afternoon,Date Happened,41,181.0,61.3,Scorpio,Muscular,Friends Only,No binario,Segovia
Bisexual,Metro,Very High,PhD,"Movies, Fitness, DIY",292,Extreme User,0.8,Swipe Maniac,91,18,2,358,37,0.22,0,After Midnight,Chat Ignored,32,193.0,71.9,Capricorn,Slim,Friends Only,Mujer,Burgos
Straight,Small Town,Very High,No Formal Education,"Startups, Sneaker Culture, Gardening",146,Addicted,0.75,Swipe Maniac,198,25,1,310,45,0.39,7,After Midnight,Blocked,39,166.0,68.6,Sagittarius,Slim,Exploring,Mujer,Toledo
Pansexual,Remote Area,Very High,Diploma,"Podcasts, Movies, Social Activism",20,Low,0.58,Optimistic,79,25,3,17,74,0.18,11,After Midnight,Ghosted,25,184.0,96.8,Capricorn,Average,Exploring,Mujer,Jaén
Pansexual,Rural,High,MBA,"Pets, Fashion, Traveling",276,Extreme User,0.51,Optimistic,93,16,4,467,34,0.4,5,Afternoon,Date Happened,21,174.0,89.9,Gemini,Athletic,Friends Only,Hombre,Valladolid
Asexual,Urban,Middle,High School,"Yoga, Crafting, Politics",203,Extreme User,0.35,Balanced,142,11,0,404,50,0.54,0,Afternoon,Relationship Formed,18,145.0,56.6,Leo,Athletic,Serious Relationship,Hombre,Soria
Queer,Rural,High,Bachelor’s,"Meditation, DIY, Podcasts",190,Extreme User,0.74,Swipe Maniac,27,21,1,241,3,0.32,19,Late Night,Instant Match,29,152.0,64.9,Scorpio,Athletic,Casual Dating,Hombre,Cantabria
Bisexual,Remote Area,Very Low,PhD,"Motorcycling, Memes, Social Activism",209,Extreme User,0.34,Balanced,29,4,0,484,4,0.39,9,Evening,One-sided Like,41,185.0,69.8,Sagittarius,Average,Casual Dating,Hombre,Bizkaia
Bisexual,Small Town,Low,MBA,"Clubbing, Cars, K-pop",276,Extreme User,0.12,Choosy,107,18,5,372,19,0.42,13,After Midnight,One-sided Like,18,153.0,49.2,Capricorn,Average,Serious Relationship,Hombre,La Rioja
Demisexual,Rural,Very Low,Master’s,"Tech, Running, Fitness",185,Extreme User,0.6,Optimistic,25,21,2,278,82,0.25,11,Early Morning,Chat Ignored,36,175.0,69.5,Gemini,Athletic,Exploring,Mujer,Salamanca
Bisexual,Urban,Very High,PhD,"Reading, K-pop, Tech",10,Very Low,0.49,Optimistic,12,12,2,124,16,0.42,18,Morning,One-sided Like,21,195.0,97.0,Aries,Athletic,Networking,Mujer,Cantabria
Bisexual,Small Town,Low,Associate’s,"Astrology, Yoga, Startups",1,Barely,0.77,Swipe Maniac,70,27,1,66,69,0.28,8,Morning,One-sided Like,54,152.0,69.3,Pisces,Athletic,Serious Relationship,Hombre,Almería
Straight,Suburban,Very Low,Master’s,"Fitness, Meditation, Foodie",8,Very Low,0.48,Optimistic,44,8,0,64,94,0.25,13,Late Night,One-sided Like,26,150.0,65.7,Libra,Curvy,Casual Dating,Mujer,Asturias
Gay,Metro,Middle,Master’s,"Investing, Meditation, Movies",231,Extreme User,0.51,Optimistic,128,7,4,22,93,0.39,21,Late Night,No Action,18,173.0,60.2,Virgo,Slim,Networking,No binario,Córdoba
Straight,Urban,Middle,MBA,"Board Games, MMA, Movies",251,Extreme User,0.23,Balanced,170,23,5,191,85,0.43,2,Early Morning,Ghosted,50,190.0,99.9,Leo,Average,Hookups,Mujer,Murcia
Bisexual,Remote Area,Low,High School,"Gardening, Yoga, Binge-Watching",180,Extreme User,0.62,Optimistic,96,7,4,249,72,0.16,5,Afternoon,Instant Match,49,194.0,84.7,Virgo,Slim,Exploring,Hombre,León
Gay,Metro,Lower-Middle,Associate’s,"Binge-Watching, MMA, History",21,Low,0.76,Swipe Maniac,168,4,6,260,30,0.37,15,Evening,Ghosted,24,164.0,55.5,Leo,Slim,Serious Relationship,Mujer,Zaragoza
Asexual,Suburban,Very High,PhD,"Writing, Art, Social Activism",192,Extreme User,0.4,Balanced,115,22,2,305,53,0.14,1,Morning,Relationship Formed,33,166.0,54.4,Aquarius,Curvy,Casual Dating,No binario,Cantabria
Pansexual,Small Town,Lower-Middle,Diploma,"Coding, Parenting, Investing",290,Extreme User,0.58,Optimistic,154,26,3,109,24,0.32,18,After Midnight,Date Happened,51,191.0,89.5,Sagittarius,Muscular,Networking,Hombre,Tarragona
Lesbian,Rural,Middle,Associate’s,"K-pop, Movies, Fashion",80,High,0.54,Optimistic,174,13,1,102,96,0.33,14,Evening,Mutual Match,35,160.0,51.8,Aries,Plus Size,Friends Only,Mujer,La Rioja
Straight,Urban,Very High,Postdoc,"Traveling, Stand-up Comedy, Writing",75,High,0.68,Optimistic,146,29,5,36,54,0.22,12,Afternoon,Date Happened,28,157.0,48.8,Gemini,Muscular,Serious Relationship,Mujer,La Coruña
Lesbian,Metro,Low,MBA,"Meditation, Politics, Parenting",212,Extreme User,0.52,Optimistic,193,16,6,233,63,0.3,16,Afternoon,One-sided Like,38,155.0,59.5,Capricorn,Athletic,Exploring,Hombre,Cádiz
Demisexual,Suburban,High,Bachelor’s,"DIY, History, Pets",100,High,0.87,Swipe Maniac,59,20,4,295,43,0.48,5,Late Night,Blocked,42,176.0,70.5,Aquarius,Average,Hookups,Hombre,Badajoz
Queer,Remote Area,Upper-Middle,No Formal Education,"Astrology, Art, Music",45,Moderate,0.36,Balanced,26,2,3,485,3,0.65,11,After Midnight,Chat Ignored,55,164.0,72.6,Virgo,Plus Size,Casual Dating,Hombre,Burgos
Straight,Small Town,Very Low,MBA,"Tattoos, Writing, Foodie",299,Extreme User,0.4,Balanced,6,25,0,323,73,0.41,1,Morning,No Action,27,155.0,50.1,Cancer,Slim,Friends Only,Mujer,Madrid
Gay,Urban,Low,Postdoc,"Pets, Board Games, Sneaker Culture",220,Extreme User,0.7,Swipe Maniac,210,18,2,112,50,0.15,20,Evening,Relationship Formed,39,178.0,82.4,Pisces,Muscular,Networking,Mujer,Ávila
Bisexual,Rural,Very Low,High School,"Cooking, Art, Tattoos",12,Very Low,0.59,Optimistic,155,12,4,489,68,0.5,12,Afternoon,Mutual Match,58,187.0,90.2,Aries,Curvy,Casual Dating,Mujer,Tarragona
Bisexual,Suburban,Middle,Associate’s,"Travel, Fitness, Yoga",150,Addicted,0.34,Balanced,167,23,5,280,31,0.08,9,Morning,One-sided Like,20,186.0,88.7,Aries,Muscular,Exploring,No binario,Almería
Straight,Remote Area,High,PhD,"K-pop, Investing, Stand-up Comedy",265,Extreme User,0.72,Swipe Maniac,190,1,1,165,37,0.52,14,Late Night,Blocked,47,157.0,59.3,Leo,Slim,Serious Relationship,Hombre,Guadalajara
Gay,Small Town,Lower-Middle,Diploma,"MMA, Photography, Sneaker Culture",30,Moderate,0.64,Optimistic,156,26,4,136,17,0.3,2,Early Morning,Ghosted,52,190.0,95.5,Aquarius,Athletic,Hookups,Mujer,Toledo
Pansexual,Rural,Upper-Middle,Bachelor’s,"Art, Motorcycling, Writing",140,Addicted,0.61,Optimistic,23,23,3,250,9,0.22,18,Morning,Chat Ignored,34,168.0,73.0,Cancer,Curvy,Friends Only,Mujer,Álava
Demisexual,Urban,High,Postdoc,"Pets, History, DIY",185,Extreme User,0.48,Optimistic,147,7,6,120,40,0.37,23,Evening,Date Happened,22,174.0,68.9,Libra,Slim,Serious Relationship,No binario,Barcelona
Queer,Metro,Very High,MBA,"Gaming, Cooking, Social Activism",260,Extreme User,0.32,Balanced,110,21,1,419,10,0.46,1,After Midnight,Mutual Match,49,165.0,60.8,Aries,Average,Casual Dating,Hombre,Murcia
Straight,Suburban,Middle,Master’s,"Astrology, Binge-Watching, Fitness",225,Extreme User,0.5,Optimistic,180,24,2,220,53,0.3,10,Morning,Ghosted,50,178.0,74.5,Pisces,Curvy,Exploring,Hombre,Jaén
Lesbian,Remote Area,Very Low,High School,"Photography, Reading, Art",10,Very Low,0.7,Swipe Maniac,55,19,4,305,45,0.41,13,Afternoon,Mutual Match,31,162.0,56.0,Virgo,Muscular,Networking,Hombre,Ávila
Straight,Rural,Lower-Middle,PhD,"Music, Tech, History",50,Moderate,0.3,Balanced,90,13,0,10,75,0.2,16,Late Night,One-sided Like,37,173.0,69.0,Cancer,Slim,Hookups,Mujer,Valencia
Queer,Urban,Upper-Middle,Diploma,"Crafting, Meditation, Tattoos",155,Addicted,0.5,Optimistic,135,28,3,400,20,0.25,20,After Midnight,Relationship Formed,29,159.0,62.5,Taurus,Curvy,Casual Dating,Mujer,Murcia
Gay,Metro,High,Master’s,"Stand-up Comedy, Investing, Fitness",245,Extreme User,0.73,Swipe Maniac,16,11,4,350,91,0.5,22,Early Morning,Blocked,24,191.0,95.1,Aries,Average,Friends Only,Mujer,Segovia
Bisexual,Small Town,Middle,Associate’s,"Podcasts, DIY, Music",105,High,0.45,Optimistic,150,22,1,100,5,0.1,19,Afternoon,Date Happened,46,183.0,86.6,Virgo,Athletic,Serious Relationship,Hombre,Guadalajara
Demisexual,Suburban,Low,Postdoc,"Yoga, Pets, Anime",200,Extreme User,0.8,Swipe Maniac,50,5,5,490,90,0.4,8,Evening,Chat Ignored,32,152.0,50.8,Aries,Slim,Networking,Hombre,Toledo
